,polynomial-regression-model-degree,residuals-min,residuals-max,residuals-µ,residuals-σ,mse,mae,rmse
135,136,2.5283356199426317e+22,5.2377734264679e+24,1.593781083531785e+24,1.306666595759184e+24,4.247515734696645e+48,1.593781083531785e+24,2.0609502018963595e+24
136,137,6.93583509908751e+21,6.710241353592643e+23,2.1458762680905994e+23,1.4591897791444258e+23,6.734019769513996e+46,2.1458762680905994e+23,2.594998992199033e+23
137,138,2.1883186382310815e+21,5.5055755468804896e+23,1.893955189114224e+23,1.3465874559352132e+23,5.400364034854766e+46,1.893955189114224e+23,2.323868334233841e+23
138,139,5.405767705141071e+22,1.5294040883367766e+24,3.733968255612946e+23,3.158519946785308e+23,2.391876718816586e+47,3.733968255612946e+23,4.890681669068828e+23
139,140,3.5958063908231896e+22,1.4570926360633923e+24,3.5078487309571674e+23,2.9712876730530395e+23,2.1133553155314755e+47,3.5078487309571674e+23,4.597124444184077e+23
140,141,1.496636276569101e+22,1.0866026273183006e+24,2.724724300930588e+23,2.4380387961070982e+23,1.336815568740503e+47,2.724724300930588e+23,3.656248854687688e+23
141,142,2.273853231646531e+21,6.030911250816327e+23,1.9991999877365333e+23,1.677172726371012e+23,6.809708945048531e+46,1.9991999877365333e+23,2.6095419032942412e+23
142,143,3.294918980780352e+20,6.853500687503439e+23,1.8134100654088818e+23,1.8014625002570073e+23,6.533723205158473e+46,1.8134100654088818e+23,2.5561148654077487e+23
143,144,5.4244673681626864e+20,7.699991307677235e+23,1.8813979898487386e+23,1.7868626374903932e+23,6.732536481466e+46,1.8813979898487386e+23,2.5947131790365577e+23
144,145,4.344305842371644e+22,1.1768957582102963e+24,3.434787267092202e+23,2.9182991889693603e+23,2.0314233726517953e+47,3.434787267092202e+23,4.507131429913926e+23
145,146,2.184662602794341e+21,7.598394180753404e+23,1.7362131345206926e+23,1.7451957406231216e+23,6.060144221571254e+46,1.7362131345206926e+23,2.4617360178482286e+23
146,147,4.866085997489821e+20,7.965661568707261e+23,1.730503303449986e+23,1.7599604471597396e+23,6.092102458818025e+46,1.730503303449986e+23,2.468218478744948e+23
147,148,6.174519603099356e+21,1.2982362933522676e+24,2.8840805166018468e+23,2.6873582010836066e+23,1.5539814527173695e+47,2.8840805166018468e+23,3.942057144077657e+23
148,149,4.1700646501262725e+21,7.464938631694645e+23,1.6453035161108594e+23,1.6833140858908044e+23,5.540569971885151e+46,1.6453035161108594e+23,2.3538415349987243e+23
149,150,7.899610783771183e+21,1.0350307038718747e+24,2.049168660003821e+23,2.120195716930949e+23,8.694322075234198e+46,2.049168660003821e+23,2.948613585269219e+23
150,151,1.733127606563676e+22,9.670987555055786e+23,2.1678683821797597e+23,1.99955553582515e+23,8.697875663303691e+46,2.1678683821797597e+23,2.9492161099695104e+23
151,152,1.0376125578800418e+22,9.948724477429922e+23,2.1682997420018686e+23,2.065609397458693e+23,8.968265954035037e+46,2.1682997420018686e+23,2.9947063218344194e+23
152,153,8.496412296862304e+21,1.0932735731477357e+24,2.5144321375792137e+23,2.0628546886022702e+23,1.0577738440779542e+47,2.5144321375792137e+23,3.2523435305606234e+23
153,154,1.40858331307201e+20,8.638653619494866e+23,2.2749822628973675e+23,1.9957681069736e+23,9.158634633310613e+46,2.2749822628973675e+23,3.026323616751952e+23
154,155,3.304581726153927e+22,1.3606111413085965e+24,2.688925441613981e+23,2.661814296679781e+23,1.4315575380567825e+47,2.688925441613981e+23,3.783592919510214e+23
155,156,9.577163082485503e+21,8.641424286497971e+23,2.6988316698667346e+23,2.082424277892435e+23,1.1620183255431495e+47,2.6988316698667346e+23,3.4088389893674205e+23
156,157,7.135297587151968e+21,8.29437888473818e+23,2.3911071120145635e+23,2.1107073068670898e+23,1.0172478556388753e+47,2.3911071120145635e+23,3.189432325099367e+23
157,158,1.0614223610981026e+22,1.1680942965350318e+24,2.6145033537531396e+23,2.3866911362443495e+23,1.2531922366613757e+47,2.6145033537531396e+23,3.5400455317147765e+23
158,159,8.577963887296309e+22,5.939982450917138e+24,1.259258387414327e+24,1.0102150940733992e+24,2.6062662225670585e+48,1.259258387414327e+24,1.6143934534576937e+24
159,160,4.0794077488228094e+21,3.5303031238237035e+24,9.637378448123694e+23,7.304772363818339e+23,1.4623876263956323e+48,9.637378448123694e+23,1.209292200584967e+24
160,161,1.1831981402610339e+22,6.857501384777211e+23,1.4805719937567542e+23,1.2989146632590155e+23,3.879272731126132e+46,1.4805719937567542e+23,1.969586944292161e+23
161,162,6.278235173932494e+21,7.224726792955042e+23,1.4210301802685356e+23,1.2890894775595636e+23,3.6810784543888145e+46,1.4210301802685356e+23,1.9186136803402644e+23
162,163,4.123706649374957e+21,9.009398262558735e+23,2.457431930453218e+23,1.9620199232709043e+23,9.888493872122993e+46,2.457431930453218e+23,3.1445975691848066e+23
